quote,author
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
"Life is what happens to you while you're busy making other plans.",John Lennon
"Be the change you wish to see in the world.",Mahatma Gandhi
"Happiness is not something ready made. It comes from your own actions.",Dalai Lama
"Believe you can and you're halfway there.",Theodore Roosevelt
"In three words I can sum up everything I've learned about life: it goes on.",Robert Frost
"I have not failed. I've just found 10,000 ways that won't work.",Thomas Edison
"To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.",Ralph Waldo Emerson
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean
"The greatest glory in living lies not in never falling, but in rising every time we fall.",Nelson Mandela
"The only way to do great work is to love what you do.",Steve Jobs
"Don't judge each day by the harvest you reap but by the seeds that you plant.",Robert Louis Stevenson
"Everything you can imagine is real.",Pablo Picasso
"The only thing necessary for the triumph of evil is for good men to do nothing.",Edmund Burke
"I have a dream that one day this nation will rise up and live out the true meaning of its creed: 'We hold these truths to be self-evident, that all men are created equal.'",Martin Luther King Jr.
"The mind is everything. What you think you become.",Buddha
"You miss 100% of the shots you don't take.",Wayne Gretzky
"If you want to go fast, go alone. If you want to go far, go together.",African proverb
"Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did do.",Mark Twain
"The only true wisdom is in knowing you know nothing.",Socrates
"You can't use up creativity. The more you use, the more you have.",Maya Angelou
"Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.",Christian D. Larson
"If you're not making mistakes, then you're not making decisions.",Catherine Cook
"The greatest wealth is to live content with little.",Plato
"Success is stumbling from failure to failure with no loss of enthusiasm.",Winston Churchill
"Life is a journey, not a destination.",Ralph Waldo Emerson
"Change your thoughts and you change your world.",Norman Vincent Peale
"The best way to predict your future is to create it.",Abraham Lincoln
"Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.",Thomas Edison
"In the end, it's not the years in your life that count. It's the life in your years.",Abraham Lincoln
"If you want to live a happy life, tie it to a goal, not to people or things.",Albert Einstein
"If you can dream it, you can achieve it.",Zig Ziglar
"Knowing is not enough; we must apply. Willing is not enough; we must do.",Johann Wolfgang von Goethe
"Success consists of going from failure to failure without loss of enthusiasm.",Winston Churchill
"Life is 10% what happens to us and 90% how we react to it.",Charles
i am awesome,Nathan
